timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2020-09-05T00:00:00.000Z";"2020-09-05T23:59:59.999Z";"2020-09-05T02:33:05.000Z";"2020-09-05T11:25:30.000Z";"2781";3.5509844551;3.6602444939;2.1916749563;2.5979163647;25062204.65;87285369.2146955;"2020-09-05T23:59:59.999Z"
"2020-09-04T00:00:00.000Z";"2020-09-04T23:59:59.999Z";"2020-09-04T00:37:29.000Z";"2020-09-04T15:19:40.000Z";"2781";3.5233900279;3.8341037395;3.1988942785;3.5457944842;17729340.04;119132915.465114;"2020-09-04T23:59:59.999Z"
"2020-09-03T00:00:00.000Z";"2020-09-03T23:59:59.999Z";"2020-09-03T08:39:10.000Z";"2020-09-03T23:58:34.000Z";"2781";4.1687724798;4.4408144434;3.527339855;3.527339855;26473633.56;117631513.488068;"2020-09-03T23:59:59.999Z"
"2020-09-02T00:00:00.000Z";"2020-09-02T23:59:59.999Z";"2020-09-02T00:02:18.000Z";"2020-09-02T11:31:22.000Z";"2781";4.3526933897;4.3559394592;3.7051639934;4.1644718409;23655802.31;137185056.897479;"2020-09-02T23:59:59.999Z"
"2020-09-01T00:00:00.000Z";"2020-09-01T23:59:59.999Z";"2020-09-01T04:30:15.000Z";"2020-09-01T23:59:08.000Z";"2781";4.7810502139;4.9447308529;4.3445159129;4.3445159129;16944926.94;142029235.639603;"2020-09-01T23:59:59.999Z"
"2020-08-31T00:00:00.000Z";"2020-08-31T23:59:59.999Z";"2020-08-31T23:45:25.000Z";"2020-08-31T08:00:32.000Z";"2781";4.4216788227;4.8729408997;4.1096813069;4.7820455179;20950150.22;155135267.461776;"2020-08-31T23:59:59.999Z"
"2020-08-30T00:00:00.000Z";"2020-08-30T23:59:59.999Z";"2020-08-30T12:31:21.000Z";"2020-08-30T00:16:26.000Z";"2781";3.970010943;4.7050052243;3.9191323259;4.4358225588;22220238.8;143848364.09318;"2020-08-30T23:59:59.999Z"
"2020-08-29T00:00:00.000Z";"2020-08-29T23:59:59.999Z";"2020-08-29T16:29:03.000Z";"2020-08-29T08:06:26.000Z";"2781";4.014216282;4.105241339;3.7871122249;3.9688093889;14585964.43;128704139.655732;"2020-08-29T23:59:59.999Z"
"2020-08-28T00:00:00.000Z";"2020-08-28T23:59:59.999Z";"2020-08-28T20:32:15.000Z";"2020-08-28T00:01:14.000Z";"2781";3.4524946514;4.3095927988;3.4472810384;4.0113925268;27212887.5;130085569.491252;"2020-08-28T23:59:59.999Z"
"2020-08-27T00:00:00.000Z";"2020-08-27T23:59:59.999Z";"2020-08-27T08:37:09.000Z";"2020-08-27T17:08:17.000Z";"2781";3.5578442862;3.8547059595;3.2922138796;3.445060334;21031356.32;111060306.36774;"2020-08-27T23:59:59.999Z"
"2020-08-26T00:00:00.000Z";"2020-08-26T23:59:59.999Z";"2020-08-26T17:25:14.000Z";"2020-08-26T01:48:18.000Z";"2781";3.2660412485;3.795323592;3.1943108214;3.5583753134;22147431.49;113824141.563725;"2020-08-26T23:59:59.999Z"
"2020-08-25T00:00:00.000Z";"2020-08-25T23:59:59.999Z";"2020-08-25T00:16:08.000Z";"2020-08-25T14:20:17.000Z";"2781";3.3496639062;3.3582474652;3.027719405;3.2648499809;13444308.06;103619131.980434;"2020-08-25T23:59:59.999Z"
"2020-08-24T00:00:00.000Z";"2020-08-24T23:59:59.999Z";"2020-08-24T09:51:15.000Z";"2020-08-24T00:41:25.000Z";"2781";3.3122215159;3.6075394637;3.2244306713;3.3449860527;15785207.72;106162865.723266;"2020-08-24T23:59:59.999Z"
"2020-08-23T00:00:00.000Z";"2020-08-23T23:59:59.999Z";"2020-08-23T20:11:22.000Z";"2020-08-23T00:02:26.000Z";"2781";3.0208633212;3.4034150223;3.0188381053;3.3224310635;11991402.16;104616816.094793;"2020-08-23T23:59:59.999Z"
"2020-08-22T00:00:00.000Z";"2020-08-22T23:59:59.999Z";"2020-08-22T17:39:18.000Z";"2020-08-22T06:58:13.000Z";"2781";2.9453077453;3.1948652107;2.7573269666;3.0208864428;10296804.82;95122114.0144119;"2020-08-22T23:59:59.999Z"
"2020-08-21T00:00:00.000Z";"2020-08-21T23:59:59.999Z";"2020-08-21T03:15:13.000Z";"2020-08-21T21:05:15.000Z";"2781";3.2097175852;3.2232895991;2.9137710266;2.9436683663;11796735.63;92690989.2578399;"2020-08-21T23:59:59.999Z"
"2020-08-20T00:00:00.000Z";"2020-08-20T23:59:59.999Z";"2020-08-20T16:30:11.000Z";"2020-08-20T00:05:17.000Z";"2781";2.8990406106;3.4318430109;2.896235885;3.2082670433;13756478.15;101023083.037279;"2020-08-20T23:59:59.999Z"
"2020-08-19T00:00:00.000Z";"2020-08-19T23:59:59.999Z";"2020-08-19T02:00:18.000Z";"2020-08-19T20:55:12.000Z";"2781";3.3286959627;3.483863211;2.8381083557;2.8990406106;14838388.92;91286346.3844131;"2020-08-19T23:59:59.999Z"
"2020-08-18T00:00:00.000Z";"2020-08-18T23:59:59.999Z";"2020-08-18T15:34:12.000Z";"2020-08-18T07:46:21.000Z";"2781";3.1044691232;3.7099107158;2.8944138509;3.329975918;30350144.94;103607422.825354;"2020-08-18T23:59:59.999Z"
"2020-08-17T00:00:00.000Z";"2020-08-17T23:59:59.999Z";"2020-08-17T00:01:17.000Z";"2020-08-17T15:51:27.000Z";"2781";3.3856527737;3.3859986027;3.087985369;3.0986077086;10723918.77;90597950.4986745;"2020-08-17T23:59:59.999Z"
"2020-08-16T00:00:00.000Z";"2020-08-16T23:59:59.999Z";"2020-08-16T07:42:10.000Z";"2020-08-16T03:02:15.000Z";"2781";3.1854060049;3.4706875882;3.1386879011;3.3856527737;10395312.82;98990653.6220894;"2020-08-16T23:59:59.999Z"
"2020-08-15T00:00:00.000Z";"2020-08-15T23:59:59.999Z";"2020-08-15T09:55:08.000Z";"2020-08-15T23:50:10.000Z";"2781";3.4125551299;3.7199446436;3.1654645924;3.1837948871;13155762.37;93088676.8213831;"2020-08-15T23:59:59.999Z"
"2020-08-14T00:00:00.000Z";"2020-08-14T23:59:59.999Z";"2020-08-14T05:31:11.000Z";"2020-08-14T19:19:16.000Z";"2781";3.760167945;3.7899966741;3.3326543173;3.4093876608;18427949.98;99684620.8277296;"2020-08-14T23:59:59.999Z"
"2020-08-13T00:00:00.000Z";"2020-08-13T23:59:59.999Z";"2020-08-13T07:59:14.000Z";"2020-08-13T09:19:12.000Z";"2781";3.7707031095;4.1558137393;3.5285196285;3.7559711571;28236179.42;64766752.6195916;"2020-08-13T23:59:59.999Z"
"2020-08-12T00:00:00.000Z";"2020-08-12T23:59:59.999Z";"2020-08-12T11:14:15.000Z";"2020-08-12T00:34:13.000Z";"2781";3.3079578477;3.9161678412;3.1039786229;3.769750913;28461706.59;65004787.9204578;"2020-08-12T23:59:59.999Z"
"2020-08-11T00:00:00.000Z";"2020-08-11T23:59:59.999Z";"2020-08-11T14:15:08.000Z";"2020-08-11T01:47:20.000Z";"2781";3.1310423538;3.4865346222;2.7536339253;3.3034192974;36356155.18;56963799.6073747;"2020-08-11T23:59:59.999Z"
"2020-08-10T00:00:00.000Z";"2020-08-10T23:59:59.999Z";"2020-08-10T19:13:20.000Z";"2020-08-10T02:41:35.000Z";"2781";2.6652275038;3.397928851;2.5258977789;3.1317933021;22863250.63;54004593.6510801;"2020-08-10T23:59:59.999Z"
"2020-08-09T00:00:00.000Z";"2020-08-09T23:59:59.999Z";"2020-08-09T23:23:15.000Z";"2020-08-09T17:45:32.000Z";"2781";2.4715557912;2.7068228056;2.3025011775;2.6652275038;12107836.86;45959454.0071939;"2020-08-09T23:59:59.999Z"
"2020-08-08T00:00:00.000Z";"2020-08-08T23:59:59.999Z";"2020-08-08T22:11:05.000Z";"2020-08-08T03:56:22.000Z";"2781";2.0838893527;2.5695897667;2.0265381706;2.4736248549;10919229.18;42655747.4961301;"2020-08-08T23:59:59.999Z"
"2020-08-07T00:00:00.000Z";"2020-08-07T23:59:59.999Z";"2020-08-07T00:00:15.000Z";"2020-08-07T18:39:22.000Z";"2781";2.2031656604;2.2031656604;1.8855724385;2.0859026353;8068101.9;35970036.8564279;"2020-08-07T23:59:59.999Z"
"2020-08-06T00:00:00.000Z";"2020-08-06T23:59:59.999Z";"2020-08-06T22:50:11.000Z";"2020-08-06T01:17:14.000Z";"2781";1.7545498159;2.2280030837;1.7467834404;2.2063483273;11143557.07;38047323.8161723;"2020-08-06T23:59:59.999Z"
"2020-08-05T00:00:00.000Z";"2020-08-05T23:59:59.999Z";"2020-08-05T01:46:14.000Z";"2020-08-05T15:12:23.000Z";"2781";1.8707357761;1.8881222215;1.7095089892;1.7545498159;5405764.4;30256505.6597196;"2020-08-05T23:59:59.999Z"
"2020-08-04T00:00:00.000Z";"2020-08-04T23:59:59.999Z";"2020-08-04T23:20:16.000Z";"2020-08-04T00:04:18.000Z";"2781";1.8000120162;1.9498753591;1.7949842008;1.8716388581;5495665;32275884.1492363;"2020-08-04T23:59:59.999Z"
